Make,Variant,Beam (m),Draft (m),Rigging,Displacement (kg),Sail Area (m²),Hull Materials,Sleeping Capacity,Headroom (m),Fuel Capacity (L),Water Capacity (L),Standard Engine Power (hp),LOA (m),Waterline Length (m),Fuel Type,Holding Tank Capacity (L),Keel Type
Catalina,470,4.3,2.03,Masthead sloop,13000,100.7,Fiberglass,7.0,1.96,208,605,56,14.18,11.97,Diesel,150,Fin keel
Contest,50cs,4.58,1.975,Masthead sloop,15900,127.0,Fiberglass,7.0,2,425,740,78,15.3,13.2,Diesel,150,Shoal draft keel
Contest,55cs,4.68,2.4000000000000004,Masthead sloop,23000,174.0,Fiberglass,7.0,2.05,775,905,100,16.75,14.58,Diesel,160,Shoal draft keel
Dehler,39sq,3.8 or 4.0,2.14,9/10 fractional sloop,8400,84.0,Fiberglass,6.0,1.95,160,360,40,11.99,10.75,Diesel,140,Shoal draft keel
Dehler,44,4.18,2.3,9/10 fractional sloop,11000,108.5,Fiberglass,7.0,2,220,450,55,13.7,12.45,Diesel,55,Shoal draft keel
Dehler,44sq,4.18,2.3,9/10 fractional sloop,11500,108.5,Fiberglass,7.0,2,220,450,55,13.7,12.45,Diesel,55,Shoal draft keel
Dehler,47sq,4.5,2.45,9/10 fractional sloop,12300,139.0,Fiberglass,7.0,2,250,460,75,14.75,13.8,Diesel,55,Shoal draft keel
Dehler,47,4.5,2.5,9/10 fractional sloop,12000,139.0,Fiberglass,7.0,2,250,460,75,14.75,13.8,Diesel,55,Shoal draft keel
Dufour,485grandlarge,4.77,2.2,Masthead sloop,14000,135.0,Fiberglass,10.0,2.05,440,730,110,14.75,13.17,Diesel,250,Shoal draft keel
Dufour,485,4.77,2.2,Masthead sloop,13000,135.0,Fiberglass,10.0,1.96,440,730,75,14.73,13.17,Diesel,250,Shoal draft keel
Dufour,525grandlarge,4.94,2.3,Masthead sloop,16000,147.0,Fiberglass,10.0,2.05,500,730,110,15.3,14.3,Diesel,250,Shoal draft keel
Elan,410,3.95,2.45,9/10 fractional sloop,8900,89.5,Fiberglass,6.0,1.98,165,210,40,12.35,11.7,Diesel,170,Fin keel
Elan,impression514,4.68,2.1,Masthead sloop,16800,156.0,Fiberglass,10.0,2.05,440,980,110,16.1,14.5,Diesel,270,Shoal draft keel
Grand Soleil,43b&c,4.2,2.5,9/10 fractional sloop,10900,95.0,Fiberglass,7.0,1.98,230,360,55,13.25,11.33,Diesel,330,Fin keel
Grand Soleil,54,4.87,2.45,Masthead sloop,21300,172.0,Fiberglass and carbon fiber,7.0,2.05,400,700,110,16.35,14.2,Diesel,300,Shoal draft keel
Grand Soleil,56,5.3,2.55,Masthead sloop,26200,216.0,Fiberglass and carbon fiber,7.0,1.95,500,800,110,17.22,15.2,Diesel,650,Shoal draft keel
Hallberg-Rassy,54,4.75,2.4,Masthead sloop,26000,169.0,Fiberglass,7.0,2.03,1000,960,150,16.57,14.23,Diesel,600,Centre cockpit
Hanse,430e,4.18,2.03,Masthead sloop,10500,100.5,Fiberglass,6.0,2.05,160,450,55,13.25,12.24,Diesel,220,Shoal draft keel
Hanse,430,4.18,2.09,Masthead sloop,10500,100.5,Fiberglass,6.0,2.05,160,450,55,13.25,12.24,Diesel,220,Shoal draft keel
Hanse,470,4.46,2.35,Masthead sloop,12500,123.0,Fiberglass,7.0,2.05,250,520,75,14.31,12.38,Diesel,300,Shoal draft keel
